model_type_1,model_type_2,t_stat,p_value
0,25,-2.165579705172513,0.04208258068123453
0,50,-5.225612143516709,3.5909495196225535e-05
0,75,-5.244107421159236,5.0272096022244974e-05
0,100,-2.6102273316629274,0.019020307637767252
25,50,-3.8044579315898654,0.001255401148287432
25,75,-3.998048288445419,0.0010268615315441045
25,100,-0.15425349712213768,0.8791012437574741
50,75,-0.7023402347986405,0.4902019363895448
50,100,4.080220974960351,0.0011021421781201295
75,100,4.1821889765344595,0.0010719267042964653
